folder,axis,title,file,concepts,required_next_evidence,bridge_claim_status
International Relations Theory,mixed,"The Global Transformation: History, Modernity and the Making of International Relations",Barry_Buzan_George_Lawson_The_Global_Transforma.pdf,"global modernity; long nineteenth century; power gap between developed and developing states; multiple revolutions (political, economic, military, cultural); world history and international relations; international order",frontmatter_or_chapter_sample,provisional_unverified
International Relations Theory,empirical,Nations at War: A Scientific Study of International Conflict,Nations at War A Scientific Study of International Conflict Geller Singer.pdf,"rational and nonrational decision-making models; multi-level analysis (state, dyad, region, system); quantitative conflict analysis; structural factors in war onset; covering-law scientific explanation; probabilistic prediction",frontmatter_or_chapter_sample,provisional_unverified
International Relations Theory,theory,Ideology and International Relations in the Modern World,Ideology_and_International_relations.pdf,"ideology and foreign policy; nationalism and internationalism; totalitarian doctrines (Marxism-Leninism, Fascism, Nazism); liberalism and conservatism in IR; raison d'état and belief systems; propaganda and mass democracy",frontmatter_or_chapter_sample,provisional_unverified
International Relations Theory,method,Theory and Metatheory in International Relations: Concepts and Contending Accounts,Theory and metatheory in international relations.pdf,scientific rationalism in IR; constructivism and poststructuralism; metatheory and theory selection; policy-theory linkage; reflectivist versus positivist methodology,frontmatter_or_chapter_sample,provisional_unverified
Social Science Theories and Geography,empirical,Does ethnofederalism explain the success of Indian federalism?,Does_ethnofederalism_explain_the_success_of_Indian_federalism.pdf,ethnofederalism; territorial recognition and redesign; linguistic reorganization; conflict management; ethnic power relations; multinational federation,frontmatter_or_chapter_sample,provisional_unverified
Social Science Theories and Geography,theory,Why Islamism Is Winning,why_islamism_is_winning.pdf,ideological diffusion across societies; revolutionary waves and contagion; post-authoritarian political realignment; grievance aggregation around shared ideology; transnational networks of dissent,frontmatter_or_chapter_sample,provisional_unverified
Social Science Theories and Geography,mixed,Ratzel and Demography,ratzel_and_demography.pdf,ethnography and religious evolution; diffusionism of cultural traits; people evaluation and internal-external functions; nature-oriented peoples; cultural transmission and decline,frontmatter_or_chapter_sample,provisional_unverified
semiotics,method,Overview of the Semiotics of Maps,30_1.pdf,"map symbolism (map language); sign processes (production, reception, employment); cartographic contexts; sign systems; cartographic representation",frontmatter_or_chapter_sample,provisional_unverified
semiotics,mixed,Cultural Cartography: Maps and Mapping in Cultural Geography,AG_660_0159.pdf,cartographic critique and representation; cultural geography and art practice; virtual and digital cartographies; map-making democratization; site-specific and Land Art; spatial documentation,frontmatter_or_chapter_sample,provisional_unverified
cognitive_philiosophy,theory,"Structural Realism: Structure, Object, and Causality",Structural Realism Structure Object and Causality.pdf,structural realism; scientific realism; ontological vs. epistemological thesis; relational ontology; physical symmetries; group theory,frontmatter_or_chapter_sample,provisional_unverified
cognitive_philiosophy,method,Discourse Analysis as Theory and Method,Discourse Analysis as Theory and Method.pdf,discourse theory; critical discourse analysis; discursive psychology; social constructionism; textual interpretation; methodology,frontmatter_or_chapter_sample,provisional_unverified
Statistical Analysis and Research Methods,empirical,Regional Action Plan towards the Information Society in Asia and the Pacific,Regional Action Plan towards the Information Society in Asia and the Pacific by United Nations.pdf,digital divide; ICT policy and regulation; capacity building; disaster management technology; sustainable development,frontmatter_or_chapter_sample,provisional_unverified
Statistical Analysis and Research Methods,mixed,Russia and the Mongols: Slavs and the Steppe in Medieval and Early Modern Russia,Russia and the Mongols Slavs and the steppe in medieval and early modern Russia.pdf,Golden Horde; Mongol conquest; Russian principalities; Historiography; Medieval Eurasia; Tatar Yoke; Chingissid influence,frontmatter_or_chapter_sample,provisional_unverified
Statistical Analysis and Research Methods,method,Histology: A Text and Atlas with Correlated Cell and Molecular Biology,HISTOLOGY A Text and Atlas with Correlated Cell and Molecular Biology.pdf,tissue microstructure; cell biology correlation; molecular mechanisms; histological techniques; organ systems anatomy,frontmatter_or_chapter_sample,provisional_unverified
Classical Political Philosophy,mixed,To Lead the Free World: American Nationalism and the Cultural Roots of the Cold War,To Lead the Free World American Nationalism and the Cultural Roots of the Cold War.pdf,"public discourse and nationalism; Cold War consensus formation; cultural history methodology; imagined communities; race, class, and foreign policy",frontmatter_or_chapter_sample,provisional_unverified
Advaita Vedanta and International Relations,empirical,We have to go: Afghans ready to flee country as foreign troops withdraw,_We_have_to_go_Afghans_ready_to_flee_country_as_foreign_troop.pdf,post-conflict migration; economic dependency on foreign aid; security vacuum and state collapse; refugee displacement cycles; brain drain and capital flight,frontmatter_or_chapter_sample,provisional_unverified
Advaita Vedanta and International Relations,empirical,Practical Exam Format May 2020,"Practical Exam Format May, 2020.pdf",,frontmatter_or_chapter_sample,provisional_unverified
Advaita Vedanta and International Relations,mixed,Advaita Vedanta and International Relations,abiword_job__2_job_287.pdf,Advaita Vedanta; non-dualism; international relations theory; philosophical foundations; statecraft,frontmatter_or_chapter_sample,provisional_unverified
