row,file,title,thesis_verdict,confidence,quote_validated,relevance_track,proposed_disposition,promotion_eligible,human_review,reason
#1,Barry_Buzan_George_Lawson_The_Global_Trans,"The Global Transformation: History, Modernity and the Making",SUPPORTED,0.93,PASS,B,core_candidate,eligible,No,"English School 'global transformation' thesis; core IR theory. SUPPORTED 0.93, quote validated."
#2,Nations at War A Scientific Study of Inter,Nations at War: A Scientific Study of International Conflict,SUPPORTED,0.9,PASS,B,core_candidate,eligible,No,"Quantitative study of international conflict; IR research-methods/theory. SUPPORTED 0.90, all 6 concepts seen, quote validated."
#3,Ideology_and_International_relations.pdf,Ideology and International Relations in the Modern World,SUPPORTED,0.9,PASS,B,core_candidate,eligible,No,"Ideology in IR; core theory. SUPPORTED 0.90, quote validated."
#4,Theory and metatheory in international rel,Theory and Metatheory in International Relations: Concepts a,SUPPORTED,0.9,PASS,B,core_candidate,eligible,No,"Metatheory/epistemology in IR; directly Layer B. SUPPORTED 0.90, quote validated."
#5,Does_ethnofederalism_explain_the_success_o,Does ethnofederalism explain the success of Indian federalis,SUPPORTED,0.78,PASS,AMB,review_required,not_yet,Yes,"Ethnofederalism / Indian federalism. Conf 0.78 (>gate) & quote ok, but India is adjacent-not-core empirical; ethnofederalism concept is only indirectly tied to the Afghan-state/ethnicity axis. Relevance needs your call."
#6,why_islamism_is_winning.pdf,Why Islamism Is Winning,SUPPORTED,0.8,PASS,AB,core_candidate,eligible,No,"Political Islam / Islamism; bears directly on Taliban/Afghanistan (Layer A) and ideology (Layer B). SUPPORTED 0.80, 5/5 concepts, quote validated. (Confirm it is the scholarly article, not an op-ed.)"
#7,ratzel_and_demography.pdf,Ratzel and Demography,PARTIAL,0.55,FAIL,B,review_required,no,Yes,"Ratzel/classical geopolitics — in-domain, BUT verdict PARTIAL, conf 0.55 (below 0.75 gate) AND argument_quote failed verbatim check. Fails on verdict quality, not relevance."
#8,30_1.pdf,Overview of the Semiotics of Maps,SUPPORTED,0.95,PASS,B,core_candidate,eligible,No,"Semiotics of maps; core Layer B (semiotics/cartography). SUPPORTED 0.95, quote validated."
#9,AG_660_0159.pdf,Cultural Cartography: Maps and Mapping in Cultural Geography,SUPPORTED,0.95,PASS,B,core_candidate,eligible,No,"Cultural cartography / map semiotics; Layer B. SUPPORTED 0.95, quote validated. Soft flag: only 2/6 concept probes located in slice (thesis still supported)."
#10,Structural Realism Structure Object and Ca,"Structural Realism: Structure, Object, and Causality",SUPPORTED,0.9,PASS,B,core_candidate,eligible,No,"Structural realism / philosophy of science; core IR theory. SUPPORTED 0.90, quote validated."
#11,Discourse Analysis as Theory and Method.pd,Discourse Analysis as Theory and Method,SUPPORTED,0.97,PASS,B,core_candidate,eligible,No,"Discourse analysis as method; core Layer B. SUPPORTED 0.97 (highest), quote validated."
#12,Regional Action Plan towards the Informati,Regional Action Plan towards the Information Society in Asia,SUPPORTED,0.85,PASS,AMB,review_required,not_yet,Yes,"Regional Action Plan on the Information Society in Asia-Pacific — a genuine policy/action document (not a misfile), thesis SUPPORTED 0.85, but its domain (ICT-policy) sits outside PRISM's IR-theory/geopolitics core. Candidate for claim_supported_but_project_irrelevant pending your relevance call."
#13,Russia and the Mongols Slavs and the stepp,Russia and the Mongols: Slavs and the Steppe in Medieval and,PARTIAL,0.55,PASS,A,review_required,no,Yes,"Russia & the Mongols / steppe history — in-domain for the Eurasia axis, BUT verdict PARTIAL, conf 0.55 (below gate). Fails on verdict quality; only 3/7 concepts seen."
#15,To Lead the Free World American Nationalis,To Lead the Free World: American Nationalism and the Cultura,SUPPORTED,0.88,PASS,AB,core_candidate,eligible,No,"American nationalism & Cold-War cultural power; IR history/ideology (Layer B, US-foreign-policy). SUPPORTED 0.88, 5/5 concepts, quote validated."
#16,_We_have_to_go_Afghans_ready_to_flee_count,We have to go: Afghans ready to flee country as foreign troo,SUPPORTED,0.75,PASS,AMB,review_required,not_yet,Yes,"News dispatch on Afghans fleeing as foreign troops withdraw. Topic is Layer A (Afghanistan security), BUT genre is journalism, not scholarship, AND it is misfiled in the Advaita-Vedanta folder. Admissible as empirical primary-source material or exclude as noise? Your call on genre boundary."
#18,abiword_job__2_job_287.pdf,Advaita Vedanta and International Relations,UNREADABLE,0.0,n/a,AMB,excluded_unreadable,no,Yes,abiword_job extraction produced unreadable output (conf 0.0). Title suggests 'Advaita Vedanta and IR' (potentially in-domain) — recommend re-extraction/OCR before any disposition is final.
