bridge_row_id,batch_id,pilot_selected,folder,file,title,axis,thesis,concepts,bridge_claim_status,required_next_evidence,claim_use_allowed,corpus_item_id,path_norm,ext,size_bytes,dedupe_key,duplicate_group_size,filename_match_count,duplicate_risk,corpus_class_preliminary,current_evidence_grade,current_verification_status,access_status,sample_status,verdict_status,review_status,ledger_block_id
BRIDGE-0001,pilot_balanced_20,True,International Relations Theory,Agency Structure and International Politics From Ontology to Empirical Enquiry.pdf,"Agency, Structure, and International Politics: From Ontology to Empirical Inquiry",theory,"The causal interrelationship of agency and structure in international politics requires autonomous definitions with explicit parameters of variability, necessitating a methodological individualist framework that accounts for how socio-political contexts shape elite decision-making.",agent-structure problem; opportunity and willingness; structuration theory; methodological individualism; ontology of international systems; elite choice-processes,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence,DOC_4b4d0f202350,SOURCE_ARCHIVE/Winstore/BASE_ONE/International Relations Theory/Agency Structure and International Politics From Ontology to Empirical Enquiry.pdf,.pdf,816308,agency structure and international politics from ontology to empirical enquiry.pdf|816308,1,1,no,Core,metadata_manifest,unverified,present_pdf,not_sampled,not_started,not_started,
BRIDGE-0002,pilot_balanced_20,True,International Relations Theory,Agents structures & international relations.pdf,"Agents, Structures and International Relations: Politics as Ontology",theory,"The agent–structure problem in IR theory can only be adequately understood through ontological analysis, revealing that fundamental gaps in competing IR theories stem from differing metaphysical assumptions about the nature of existence and reality.",agent–structure problem; ontology and IR theory; agency and structure; theoretical foundations of IR; politics as ontology,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence,DOC_a55071a7a7cd,SOURCE_ARCHIVE/Winstore/BASE_ONE/International Relations Theory/greatpowerbooks/Agents structures & international relations.pdf,.pdf,2870454,agents structures & international relations.pdf|2870454,1,2,yes,Core,metadata_manifest,unverified,present_pdf,not_sampled,not_started,not_started,
BRIDGE-0003,backlog,False,International Relations Theory,American foreign policy  alliance politics in a century of war 1914-2014.pdf,"American Foreign Policy: Alliance Politics in a Century of War, 1914–2014",empirical,"American foreign policy from 1914 to 2014 has been fundamentally shaped by alliance networks, whose effectiveness in achieving strategic objectives has varied significantly across major conflicts from World War I through the post-Cold War era.",Alliance networks and coalitions; American internationalism and isolationism; Containment strategy; Cold War geopolitics; Rogue state deterrence; Counterterrorism partnerships,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence,DOC_24c3614036a8,SOURCE_ARCHIVE/Winstore/BASE_ONE/International Relations Theory/American foreign policy  alliance politics in a century of war 1914-2014.pdf,.pdf,6092624,american foreign policy  alliance politics in a century of war 1914-2014.pdf|6092624,1,1,no,Core,metadata_manifest,unverified,present_pdf,not_sampled,not_started,not_started,
BRIDGE-0004,pilot_balanced_20,True,International Relations Theory,An Introduction to Dialectics Theodor W Adorno.pdf,An Introduction to Dialectics,theory,"Dialectics is a philosophical method of thought that articulates the dynamic, mediated movement of concepts and reality through determinate negation and the unity of identity and non-identity, rejecting both positivism and foundationalist metaphysics.",Dialectical method; Mediation and non-identity; Determinate negation; Movement of the concept; The whole as result; Critique of positivism,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence,DOC_509377db1178,SOURCE_ARCHIVE/Winstore/BASE_ONE/International Relations Theory/An Introduction to Dialectics Theodor W Adorno.pdf,.pdf,5620209,an introduction to dialectics theodor w adorno.pdf|5620209,1,1,no,Core,metadata_manifest,unverified,present_pdf,not_sampled,not_started,not_started,
BRIDGE-0005,pilot_balanced_20,True,International Relations Theory,Balance_of_Power.pdf,Balance of Power: Theory and Practice in the 21st Century,mixed,"An examination of how balance-of-power theory explains state behavior and international stability in contemporary geopolitics, including its application to post-Cold War security challenges and regional subsystems.",balance of power; great power politics; hegemony; regional security subsystems; balancing and bandwagoning; power transition; weapons of mass destruction,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence,DOC_48d07d21b8ff,SOURCE_ARCHIVE/Winstore/BASE_ONE/International Relations Theory/Balance_of_Power.pdf,.pdf,1594062,balance_of_power.pdf|1594062,2,2,yes,Core,metadata_manifest,unverified,present_pdf,not_sampled,not_started,not_started,
BRIDGE-0006,pilot_balanced_20,True,International Relations Theory,Barry_Buzan_George_Lawson_The_Global_Transforma.pdf,"The Global Transformation: History, Modernity and the Making of International Relations",mixed,"The 'long nineteenth century' (1776–1914) witnessed multiple political, economic, military and cultural revolutions that fundamentally reconstituted both domestic and international societies, creating the material and ideational foundations of modern international relations and establishing a power gap between those who harnessed modernity and those denied access to it.","global modernity; long nineteenth century; power gap between developed and developing states; multiple revolutions (political, economic, military, cultural); world history and international relations; international order",provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence,DOC_c45bffa5d92f,SOURCE_ARCHIVE/Winstore/BASE_ONE/International Relations Theory/Barry_Buzan_George_Lawson_The_Global_Transforma.pdf,.pdf,3027347,barry_buzan_george_lawson_the_global_transforma.pdf|3027347,1,1,no,Core,metadata_manifest,unverified,present_pdf,not_sampled,not_started,not_started,
BRIDGE-0007,pilot_balanced_20,True,International Relations Theory,Barry_Buzan_and_Lene_Hansen_The_Evolution_of_International Security Studies.pdf,The Evolution of International Security Studies,theory,"International Security Studies has evolved from Cold War focus on superpower rivalry and nuclear weapons to a diverse field encompassing environmental, economic, human, and other securities, incorporating approaches from Realism to Feminism and Post-colonialism.",security diversification; Cold War strategic studies; theoretical pluralism; driving forces framework; disciplinary boundaries,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence,DOC_28321fa4e4a6,SOURCE_ARCHIVE/Winstore/BASE_ONE/International Relations Theory/Barry_Buzan_and_Lene_Hansen_The_Evolution_of_International Security Studies.pdf,.pdf,1931189,barry_buzan_and_lene_hansen_the_evolution_of_international security studies.pdf|1931189,1,1,no,Core,metadata_manifest,unverified,present_pdf,not_sampled,not_started,not_started,
BRIDGE-0008,pilot_balanced_20,True,International Relations Theory,Building_Regions.pdf,Building Regions: The Regionalization of the World Order,theory,"Regionalism is reshaping the international system as an intermediate level of governance between states and the global order, challenging traditional state-centric international relations.",regionalism; regional integration; state sovereignty; global governance; geopolitical identity; international organization,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence,DOC_47a9225c4ad0,SOURCE_ARCHIVE/Winstore/BASE_ONE/International Relations Theory/Building_Regions.pdf,.pdf,1495537,building_regions.pdf|1495537,1,1,no,Core,metadata_manifest,unverified,present_pdf,not_sampled,not_started,not_started,
BRIDGE-0009,pilot_balanced_20,True,International Relations Theory,Causation_in_IR.pdf,Causation in International Relations: Reclaiming Causal Analysis,theory,"Causal analysis in International Relations rests on problematic deterministic, mechanistic, and empiricist assumptions; reinterpreting causation's meaning, aims, and methods enables multi-causal and methodologically pluralist scholarship.",causal analysis; Humean philosophy of causation; determinism and mechanism; methodological pluralism; world political processes,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence,DOC_9fb1728bc629,SOURCE_ARCHIVE/Winstore/BASE_ONE/International Relations Theory/Causation_in_IR.pdf,.pdf,1437319,causation_in_ir.pdf|1437319,1,1,no,Core,metadata_manifest,unverified,present_pdf,not_sampled,not_started,not_started,
BRIDGE-0010,backlog,False,International Relations Theory,Charm Offensive How Chinas Soft Power Is Transforming the World.pdf,Charm Offensive: How China's Soft Power Is Transforming the World,empirical,"China is systematically deploying soft power—cultural, business, and diplomatic tools—to expand its global influence and reshape international relations, particularly in Asia where it is displacing American dominance.",soft power; China's international influence; cultural diplomacy; business engagement; regional hegemony shift,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence,DOC_26b60aa46907,SOURCE_ARCHIVE/Winstore/BASE_ONE/International Relations Theory/Charm Offensive How Chinas Soft Power Is Transforming the World.pdf,.pdf,970568,charm offensive how chinas soft power is transforming the world.pdf|970568,1,1,no,Core,metadata_manifest,unverified,present_pdf,not_sampled,not_started,not_started,
BRIDGE-0011,backlog,False,International Relations Theory,Chinas Trade Patterns and International Comparative Advantage.pdf,China's Trade Patterns and International Comparative Advantage,empirical,An econometric analysis of China's trade patterns and the sources of its international comparative advantage in the context of economic reform and global integration.,comparative advantage; trade patterns; econometric modeling; commercial policy; Chinese economic reform; international trade,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence,DOC_51117041c13a,SOURCE_ARCHIVE/Winstore/BASE_ONE/International Relations Theory/Chinas Trade Patterns and International Comparative Advantage.pdf,.pdf,1617095,chinas trade patterns and international comparative advantage.pdf|1617095,1,1,no,Core,metadata_manifest,unverified,present_pdf,not_sampled,not_started,not_started,
BRIDGE-0012,backlog,False,International Relations Theory,Classical and Modern Thought on International Relations.pdf,Classical and Modern Thought on International Relations: From Anarchy to Cosmopolis,theory,"International relations thought evolves from classical realist conceptions of anarchy toward modern cosmopolitan frameworks that emphasize justice, obligation, and solidarity in world affairs.",realism; sovereignty; international obligation; diplomacy; cosmopolitanism; justice,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence,DOC_7033e3e0806b,SOURCE_ARCHIVE/Winstore/BASE_ONE/International Relations Theory/Classical and Modern Thought on International Relations.pdf,.pdf,869135,classical and modern thought on international relations.pdf|869135,1,1,no,Core,metadata_manifest,unverified,present_pdf,not_sampled,not_started,not_started,
BRIDGE-0013,backlog,False,International Relations Theory,Classical_and_Modern_Thought_on_International_Rela.pdf,Classical and Modern Thought on International Relations: From Anarchy to Cosmopolis,theory,"The book traces the evolution of international relations theory from classical realist thought through modern cosmopolitan and solidarist perspectives, examining how thinkers have grappled with the tension between state sovereignty and universal principles of justice.",Realism and state sovereignty; Diplomatic theory and practice; International obligation and law; Cosmopolitanism and global justice; Solidarism in world affairs,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence,DOC_eeb0b9807e5d,SOURCE_ARCHIVE/Winstore/BASE_ONE/International Relations Theory/Classical_and_Modern_Thought_on_International_Rela.pdf,.pdf,869135,classical_and_modern_thought_on_international_rela.pdf|869135,1,1,no,Core,metadata_manifest,unverified,present_pdf,not_sampled,not_started,not_started,
BRIDGE-0014,backlog,False,International Relations Theory,Classical_theory_in_international_relations.pdf,Classical Theory in International Relations,theory,Classical political theorists are frequently misinterpreted in International Relations scholarship when their work is extracted from its original intellectual and historical contexts and appropriated into contemporary theoretical schools.,contextual interpretation of classical texts; intellectual history and appropriation trajectories; sovereignty and international law; morality in international relations; imperialism and agency,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence,DOC_af34637499c1,SOURCE_ARCHIVE/Winstore/BASE_ONE/International Relations Theory/Classical_theory_in_international_relations.pdf,.pdf,2138252,classical_theory_in_international_relations.pdf|2138252,1,1,no,Core,metadata_manifest,unverified,present_pdf,not_sampled,not_started,not_started,
BRIDGE-0015,backlog,False,International Relations Theory,Clausewitzs Puzzle The Political Theory of War.pdf,Clausewitz's Puzzle: The Political Theory of War,theory,Clausewitz's theory of war resolves the apparent contradiction between absolute war and limited war through the primacy of politics as the governing logic of military conflict.,political theory of war; wondrous trinity; absolute versus limited war; polarity and antithesis; logic and grammar of war; attack and defence asymmetry,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence,DOC_57288ec166ef,SOURCE_ARCHIVE/Winstore/BASE_ONE/International Relations Theory/Clausewitzs Puzzle The Political Theory of War.pdf,.pdf,2311903,clausewitzs puzzle the political theory of war.pdf|2311903,1,1,no,Core,metadata_manifest,unverified,present_pdf,not_sampled,not_started,not_started,
BRIDGE-0016,backlog,False,International Relations Theory,Coercion_Cooperation_and_Ethics_in_International.pdf,"Coercion, Cooperation, and Ethics in International Relations",mixed,"International relations theory must integrate ethical reasoning with strategic analysis of coercion, deterrence, and cooperation to understand state behavior and international outcomes.",deterrence and coercive bargaining; international cooperation; ethics in statecraft; cognitive closure in crisis; constructivist approaches to IR,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence,DOC_5ec8411b65e8,SOURCE_ARCHIVE/Winstore/BASE_ONE/International Relations Theory/Coercion_Cooperation_and_Ethics_in_International.pdf,.pdf,5804578,coercion_cooperation_and_ethics_in_international.pdf|5804578,1,1,no,Core,metadata_manifest,unverified,present_pdf,not_sampled,not_started,not_started,
BRIDGE-0017,backlog,False,International Relations Theory,Communitarian International Relations.pdf,Communitarian International Relations: The Epistemic Foundations of International Relations,theory,"International relations evolve through communities of practice that mediate between individual and state agency and social structures, embedding collective meanings and social practices that explain why certain ideas become human practices.",communities of practice; constructivism; epistemic communities; security communities; collective knowledge; social structures,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence,DOC_6d830fe7121d,SOURCE_ARCHIVE/Winstore/BASE_ONE/International Relations Theory/Communitarian International Relations.pdf,.pdf,2920025,communitarian international relations.pdf|2920025,1,1,no,Core,metadata_manifest,unverified,present_pdf,not_sampled,not_started,not_started,
BRIDGE-0018,backlog,False,International Relations Theory,Conceptualizing_the_west_in_international_relation.pdf,Conceptualizing the West in International Relations: From Spengler to Said,theory,"The book traces how Western identity has been conceptualized across major international relations theories and thinkers, from civilizational frameworks to postcolonial critique, to understand how the West functions as a category in shaping global order.",Civilizational analysis; Western identity; International relations theory; Orientalism and postcolonial critique; Cultural world order; Civilizational conflict,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence,DOC_da7f862bac60,SOURCE_ARCHIVE/Winstore/BASE_ONE/International Relations Theory/Conceptualizing_the_west_in_international_relation.pdf,.pdf,851789,conceptualizing_the_west_in_international_relation.pdf|851789,1,1,no,Core,metadata_manifest,unverified,present_pdf,not_sampled,not_started,not_started,
BRIDGE-0019,backlog,False,International Relations Theory,Constructing_global_civil_society.pdf,Constructing Global Civil Society: Morality and Power in International Relations,theory,"The book critically examines how global civil society is constructed through normative claims about morality and international intervention, analyzing the relationship between power and moral authority in contemporary international relations.",global civil society; constructivism; international intervention; cosmopolitanism; moral authority; NGOs and transnational actors,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence,DOC_0f5861b1a4de,SOURCE_ARCHIVE/Winstore/BASE_ONE/International Relations Theory/Constructing_global_civil_society.pdf,.pdf,607224,constructing_global_civil_society.pdf|607224,1,1,no,Core,metadata_manifest,unverified,present_pdf,not_sampled,not_started,not_started,
BRIDGE-0020,backlog,False,International Relations Theory,Converging_Regions.pdf,Converging Regions: Global Perspectives on Asia and the Middle East,mixed,"Regional interactions between Asia and the Middle East are reshaping international political economy through finance, resources, geopolitics, and transnational networks that challenge traditional state-centric and Western-dominated frameworks.",New regionalism; International political economy; Geopolitical competition; Economic interdependence; Regional institutions,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence,DOC_debeabde9218,SOURCE_ARCHIVE/Winstore/BASE_ONE/International Relations Theory/Converging_Regions.pdf,.pdf,2657363,converging_regions.pdf|2657363,1,1,no,Core,metadata_manifest,unverified,present_pdf,not_sampled,not_started,not_started,
BRIDGE-0021,backlog,False,International Relations Theory,Critical_practices_of_international_theory.pdf,Critical Practices in International Theory,theory,"International theory must adopt a critical pluralist approach that interrogates the discourses, technologies, and practices structuring global politics, from diplomacy and security to media and simulation.",poststructuralist theory; diplomacy and estrangement; security discourse; military-entertainment-media matrix; simulation and surveillance; critical pluralism,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence,DOC_26c04537dd7f,SOURCE_ARCHIVE/Winstore/BASE_ONE/International Relations Theory/Critical_practices_of_international_theory.pdf,.pdf,2311239,critical_practices_of_international_theory.pdf|2311239,1,1,no,Core,metadata_manifest,unverified,present_pdf,not_sampled,not_started,not_started,
BRIDGE-0022,backlog,False,International Relations Theory,Culture_and_IR.pdf,"Culture and International Relations: Narratives, Natives and Tourists",theory,"Culture has been a significant but often unacknowledged force throughout international relations history, evolving from fostering mutual understanding to representing clashing ways of life, yet the concept itself remains contested and its universal applicability questionable.",humanist concept of culture; anthropological concept of culture; cultural internationalism; clash of cultures; cultural identity in IR; contextual methodology,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence,DOC_b78295fab754,SOURCE_ARCHIVE/Winstore/BASE_ONE/International Relations Theory/Culture_and_IR.pdf,.pdf,1030091,culture_and_ir.pdf|1030091,1,1,no,Core,metadata_manifest,unverified,present_pdf,not_sampled,not_started,not_started,
BRIDGE-0023,backlog,False,International Relations Theory,Democratic Wars Looking at the Dark Side of Democratic Peace.pdf,Democratic Wars: Looking at the Dark Side of Democratic Peace,theory,"Democracies engage in war despite the democratic peace theory, warranting examination of the mechanisms and conditions under which democratic states resort to military force.",democratic peace theory; democratic war; military interventions; international relations theory; identity and otherness; democratic state behavior,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence,DOC_decce540d1a6,SOURCE_ARCHIVE/Winstore/BASE_ONE/International Relations Theory/Democratic Wars Looking at the Dark Side of Democratic Peace.pdf,.pdf,966300,democratic wars looking at the dark side of democratic peace.pdf|966300,1,1,no,Core,metadata_manifest,unverified,present_pdf,not_sampled,not_started,not_started,
BRIDGE-0024,backlog,False,International Relations Theory,Deterrence_Now.pdf,Deterrence Now,theory,"Deterrence theory requires fundamental revision to address post-Cold War conditions, nuclear proliferation, and emerging military capabilities, with greater emphasis on general deterrence and collective security actors.",deterrence theory; nuclear proliferation; general vs. immediate deterrence; collective security; revolution in military affairs; retaliatory threats,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence,DOC_b3d7dee3b4ab,SOURCE_ARCHIVE/Winstore/BASE_ONE/International Relations Theory/Deterrence_Now.pdf,.pdf,1417110,deterrence_now.pdf|1417110,1,1,no,Core,metadata_manifest,unverified,present_pdf,not_sampled,not_started,not_started,
BRIDGE-0025,backlog,False,International Relations Theory,Economic Sanctions vs Soft Power Lessons from North Korea Myanmar and the Middle East.pdf,"Economic Sanctions vs. Soft Power: Lessons From North Korea, Myanmar, and the Middle East",empirical,"Economic sanctions and soft power represent competing foreign policy approaches with markedly different outcomes for target nations, as demonstrated through comparative analysis of North Korea, Myanmar, and Middle Eastern cases.",economic sanctions; soft power; foreign direct investment; international engagement; policy effectiveness; sanctions regimes,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence,DOC_40fb6b24058c,SOURCE_ARCHIVE/Winstore/BASE_ONE/International Relations Theory/Economic Sanctions vs Soft Power Lessons from North Korea Myanmar and the Middle East.pdf,.pdf,1507571,economic sanctions vs soft power lessons from north korea myanmar and the middle east.pdf|1507571,1,1,no,Core,metadata_manifest,unverified,present_pdf,not_sampled,not_started,not_started,
BRIDGE-0026,backlog,False,International Relations Theory,Economics_of_War_and_Peace.pdf,"Economics of War and Peace: Economic, Legal, and Political Perspectives",mixed,"Economic factors, institutions, and policies shape conflict dynamics and peace-building across state and sub-state levels, requiring interdisciplinary analysis of markets, governance, and development.",peace economics; conflict-development nexus; institutional governance; arms trade and proliferation; post-conflict financing,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence,DOC_6122e8d6713d,SOURCE_ARCHIVE/Winstore/BASE_ONE/International Relations Theory/Economics_of_War_and_Peace.pdf,.pdf,5198283,economics_of_war_and_peace.pdf|5198283,1,1,no,Core,metadata_manifest,unverified,present_pdf,not_sampled,not_started,not_started,
BRIDGE-0027,backlog,False,International Relations Theory,Empire of Civil Society A Critique of the Realist Theory of International Relations.pdf,The Empire of Civil Society: A Critique of the Realist Theory of International Relations,theory,"Realist theory of international relations, despite its dominance, fundamentally misunderstands the state and international system by ignoring the historical development of capitalism and civil society as structuring forces.",realism critique; civil society; social structures; state formation; capitalism and geopolitics; raison d'état; sovereignty,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence,DOC_5b79df7abb74,SOURCE_ARCHIVE/Winstore/BASE_ONE/International Relations Theory/Empire of Civil Society A Critique of the Realist Theory of International Relations.pdf,.pdf,32397724,empire of civil society a critique of the realist theory of international relations.pdf|32397724,1,1,no,Core,metadata_manifest,unverified,present_pdf,not_sampled,not_started,not_started,
BRIDGE-0028,backlog,False,International Relations Theory,English_school_of_IR.pdf,The English School of International Relations: A Contemporary Reassessment,theory,"The English School offers a distinctive approach to international politics that emphasizes coexistence and cooperation alongside conflict between sovereign states, grounded in epistemological and methodological foundations that include sociology of states-systems and conceptions of good international citizenship.",English School theory; international society; states-systems; coexistence and cooperation; good international citizenship; Kantian thought; world politics progress,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence,DOC_7f926eca6b6b,SOURCE_ARCHIVE/Winstore/BASE_ONE/International Relations Theory/English_school_of_IR.pdf,.pdf,2279736,english_school_of_ir.pdf|2279736,1,1,no,Core,metadata_manifest,unverified,present_pdf,not_sampled,not_started,not_started,
BRIDGE-0029,backlog,False,International Relations Theory,Ethics liberalism & realism in international relations.pdf,"Ethics, Liberalism and Realism in International Relations",theory,"Liberalism and realism both fail to integrate ethical and pragmatic dimensions of foreign policy, but a covenant-based paradigm can reconcile realist insights about political tragedy with the moral commitments necessary for democratic flourishing.",liberal social contract theory; realist international relations; covenant paradigm; ethics in statecraft; democratic moral community,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence,DOC_c4b717e0bc4b,SOURCE_ARCHIVE/Winstore/BASE_ONE/International Relations Theory/Ethics liberalism & realism in international relations.pdf,.pdf,1537940,ethics liberalism & realism in international relations.pdf|1537940,1,1,no,Core,metadata_manifest,unverified,present_pdf,not_sampled,not_started,not_started,
BRIDGE-0030,backlog,False,International Relations Theory,European_approaches_to_IR_theory.pdf,European Approaches to International Relations Theory: A House with Many Mansions,mixed,European IR scholars offer distinct theoretical perspectives that challenge American-dominated mainstream IR theory and warrant integration into global academic discourse.,Knowledge production in IR communities; European schools of thought; Disciplinary pluralism; Continental theorizing; IR institutionalization,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence,DOC_94cb2e04e834,SOURCE_ARCHIVE/Winstore/BASE_ONE/International Relations Theory/European_approaches_to_IR_theory.pdf,.pdf,695897,european_approaches_to_ir_theory.pdf|695897,1,1,no,Core,metadata_manifest,unverified,present_pdf,not_sampled,not_started,not_started,
BRIDGE-0031,backlog,False,International Relations Theory,Feminist_IR.pdf,Feminist International Relations: An Unfinished Journey,mixed,"Feminism has fundamentally transformed International Relations scholarship over fifteen years, and feminist methodologies reveal gender's presence and effects in international politics while charting future directions for the field.",gender in international politics; feminist methodology; postcolonial perspectives; identity and agency; IR theory critique,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence,DOC_cfa6e5c30826,SOURCE_ARCHIVE/Winstore/BASE_ONE/International Relations Theory/Feminist_IR.pdf,.pdf,1119632,feminist_ir.pdf|1119632,1,1,no,Core,metadata_manifest,unverified,present_pdf,not_sampled,not_started,not_started,
BRIDGE-0032,pilot_balanced_20,True,International Relations Theory,Feminist_methodologies_for_IR.pdf,Feminist Methodologies for International Relations,method,"Feminist research in international relations requires distinctive methodologies and methods that integrate ontological, epistemological, and practical considerations to challenge and expand how IR scholarship is conducted.",Feminist epistemology; Research methodology and method; Gender analysis in IR; Fieldwork and ethnography; Marginalized identities and silences; Normative theory and ethics of care,provisional_unverified,frontmatter_or_chapter_sample,hypothesis_only_not_scholarly_evidence,DOC_2f46212905ee,SOURCE_ARCHIVE/Winstore/BASE_ONE/International Relations Theory/Feminist_methodologies_for_IR.pdf,.pdf,2296871,feminist_methodologies_for_ir.pdf|2296871,1,1,no,Core,metadata_manifest,unverified,present_pdf,not_sampled,not_started,not_started,
